X,Y,Z,label,scanID
219,29,1,0,002
202,51,1,0,002
245,54,1,0,002
286,82,1,0,002
166,85,1,0,002
298,87,1,0,002
151,92,1,0,002
314,130,1,0,002
130,131,1,0,002
154,162,1,0,002
102,172,1,0,002
322,187,1,0,002
349,189,1,0,002
126,194,1,0,002
279,195,1,0,002
206,232,1,0,002
286,233,1,0,002
240,238,1,0,002
82,240,1,0,002
103,240,1,0,002
152,240,1,0,002
224,263,1,0,002
217,264,1,0,002
220,264,1,0,002
226,264,1,0,002
227,264,1,0,002
215,265,1,0,002
221,265,1,0,002
229,265,1,0,002
230,266,1,0,002
213,267,1,0,002
230,268,1,0,002
217,270,1,0,002
219,270,1,0,002
224,270,1,0,002
226,270,1,0,002
228,270,1,0,002
297,283,1,0,002
358,297,1,0,002
84,316,1,0,002
300,316,1,0,002
130,323,1,0,002
222,327,1,0,002
332,353,1,0,002
259,364,1,0,002
118,367,1,0,002
172,368,1,0,002
157,69,2,0,002
288,71,2,0,002
285,84,2,0,002
160,88,2,0,002
299,94,2,0,002
208,97,2,0,002
240,98,2,0,002
271,110,2,0,002
285,118,2,0,002
129,127,2,0,002
315,132,2,0,002
156,169,2,0,002
291,177,2,0,002
91,199,2,0,002
323,199,2,0,002
141,202,2,0,002
354,217,2,0,002
273,224,2,0,002
164,227,2,0,002
101,233,2,0,002
205,237,2,0,002
237,237,2,0,002
359,237,2,0,002
326,243,2,0,002
82,247,2,0,002
225,263,2,0,002
227,263,2,0,002
217,264,2,0,002
218,264,2,0,002
221,264,2,0,002
214,265,2,0,002
230,265,2,0,002
272,266,2,0,002
213,267,2,0,002
214,267,2,0,002
230,267,2,0,002
214,268,2,0,002
221,268,2,0,002
230,268,2,0,002
214,269,2,0,002
221,269,2,0,002
214,270,2,0,002
215,270,2,0,002
216,270,2,0,002
217,270,2,0,002
219,270,2,0,002
221,270,2,0,002
224,270,2,0,002
225,270,2,0,002
226,270,2,0,002
227,270,2,0,002
229,270,2,0,002
218,271,2,0,002
130,277,2,0,002
148,292,2,0,002
305,298,2,0,002
229,324,2,0,002
275,338,2,0,002
333,342,2,0,002
159,351,2,0,002
261,361,2,0,002
144,393,2,0,002
214,398,2,0,002
217,33,3,0,002
231,33,3,0,002
203,54,3,0,002
245,57,3,0,002
161,80,3,0,002
287,80,3,0,002
230,83,3,0,002
295,83,3,0,002
158,85,3,0,002
296,92,3,0,002
151,95,3,0,002
184,107,3,0,002
171,126,3,0,002
316,130,3,0,002
130,131,3,0,002
126,135,3,0,002
319,135,3,0,002
176,149,3,0,002
175,150,3,0,002
179,150,3,0,002
175,152,3,0,002
179,152,3,0,002
177,153,3,0,002
124,157,3,0,002
125,158,3,0,002
319,158,3,0,002
121,159,3,0,002
321,162,3,0,002
311,164,3,0,002
159,171,3,0,002
136,177,3,0,002
267,178,3,0,002
344,187,3,0,002
322,202,3,0,002
173,204,3,0,002
104,212,3,0,002
89,213,3,0,002
337,215,3,0,002
298,219,3,0,002
357,232,3,0,002
221,236,3,0,002
203,237,3,0,002
222,240,3,0,002
109,242,3,0,002
80,243,3,0,002
238,247,3,0,002
147,250,3,0,002
330,250,3,0,002
285,262,3,0,002
225,263,3,0,002
227,263,3,0,002
216,264,3,0,002
217,264,3,0,002
217,269,3,0,002
302,280,3,0,002
123,287,3,0,002
181,294,3,0,002
311,306,3,0,002
254,308,3,0,002
87,315,3,0,002
98,319,3,0,002
334,321,3,0,002
163,330,3,0,002
342,338,3,0,002
268,352,3,0,002
177,363,3,0,002
316,374,3,0,002
148,395,3,0,002
218,396,3,0,002
160,81,4,0,002
290,83,4,0,002
154,93,4,0,002
301,93,4,0,002
123,133,4,0,002
320,133,4,0,002
160,151,4,0,002
284,159,4,0,002
302,168,4,0,002
100,170,4,0,002
150,171,4,0,002
224,184,4,0,002
346,184,4,0,002
322,192,4,0,002
271,193,4,0,002
115,196,4,0,002
164,210,4,0,002
361,225,4,0,002
276,227,4,0,002
82,228,4,0,002
326,229,4,0,002
206,239,4,0,002
222,239,4,0,002
241,241,4,0,002
131,253,4,0,002
219,263,4,0,002
224,263,4,0,002
225,263,4,0,002
226,263,4,0,002
227,263,4,0,002
217,264,4,0,002
215,265,4,0,002
296,265,4,0,002
215,266,4,0,002
215,267,4,0,002
214,268,4,0,002
223,268,4,0,002
226,268,4,0,002
227,268,4,0,002
216,269,4,0,002
218,269,4,0,002
223,269,4,0,002
224,269,4,0,002
308,292,4,0,002
118,295,4,0,002
193,298,4,0,002
242,303,4,0,002
215,305,4,0,002
275,306,4,0,002
154,310,4,0,002
314,313,4,0,002
126,329,4,0,002
162,351,4,0,002
266,351,4,0,002
324,365,4,0,002
138,391,4,0,002
224,33,5,0,002
205,53,5,0,002
247,57,5,0,002
280,69,5,0,002
217,80,5,0,002
229,80,5,0,002
177,82,5,0,002
153,85,5,0,002
289,85,5,0,002
266,113,5,0,002
187,115,5,0,002
282,118,5,0,002
230,120,5,0,002
173,123,5,0,002
317,130,5,0,002
128,137,5,0,002
173,148,5,0,002
175,148,5,0,002
176,148,5,0,002
177,149,5,0,002
173,150,5,0,002
173,151,5,0,002
177,151,5,0,002
177,152,5,0,002
175,153,5,0,002
123,157,5,0,002
121,158,5,0,002
320,158,5,0,002
323,158,5,0,002
120,159,5,0,002
124,159,5,0,002
230,159,5,0,002
319,159,5,0,002
323,159,5,0,002
319,160,5,0,002
124,161,5,0,002
319,161,5,0,002
323,161,5,0,002
121,162,5,0,002
123,162,5,0,002
321,162,5,0,002
135,167,5,0,002
100,173,5,0,002
152,173,5,0,002
140,196,5,0,002
302,196,5,0,002
112,209,5,0,002
285,220,5,0,002
181,222,5,0,002
356,224,5,0,002
238,232,5,0,002
209,236,5,0,002
329,237,5,0,002
82,245,5,0,002
174,246,5,0,002
176,247,5,0,002
178,247,5,0,002
171,248,5,0,002
180,248,5,0,002
173,249,5,0,002
182,249,5,0,002
175,250,5,0,002
184,250,5,0,002
115,251,5,0,002
178,251,5,0,002
185,252,5,0,002
181,253,5,0,002
186,253,5,0,002
